"Experiment","Target","Date","Variable","Method","Unit","Value","Data.Description","X","Experiment.URI","Target.URI","Variable.URI","Data.Description.URI"
"LBE_ANSWER2019_3","PCC9432ax_n13","2019-08-23T12:30:00.000+0200","DNA_DNAsample_yes/no","DNAsample","yes/no","oui","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000003","http://www.opensilex.org/weis/id/variables/v063","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n24","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000014","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n23","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000013","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n22","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000012","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n21","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000011","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n20","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000010","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n19","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000009","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n18","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000008","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n17","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000007","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n16","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000006","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n15","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000005","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n14","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000004","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n13","2019-08-23T12:30:00.000+0200","DNA_VolumeDNA_mL","VolumeDNA","mL","0.5","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000003","http://www.opensilex.org/weis/id/variables/v064","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n24","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R20, R23)","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000014","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n23","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R20, R24)","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000013","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n22","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R21, R19)","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000012","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n21","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R19, R22)","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000011","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n20","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R23, R24) ","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000010","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n19","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R21, R22)","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000009","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n18","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R14, R17) ","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000008","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n17","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R14, R18)","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000007","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n16","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R15, R13)","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000006","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n15","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R13,R16)","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000005","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n14","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R17, R18)","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000004","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n13","2019-08-23T12:30:00.000+0200","Replication_/NA/_Oui(tub1, tub2)/non","/NA/","Oui(tub1, tub2)/non","oui (R15, R16)","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000003","http://www.opensilex.org/weis/id/variables/v065","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n24","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","not axenic","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000014","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n23","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","not axenic","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000013","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n22","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","axenique","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000012","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n21","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","axenique","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000011","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n20","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","not axenic","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000010","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n19","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","axenique","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000009","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n18","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","not axenic","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000008","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n17","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","not axenic","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000007","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n16","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","axenique","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000006","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n15","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","axenique","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000005","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n14","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","not axenic","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000004","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n13","2019-08-23T12:30:00.000+0200","Purity_/NA/_Axenic/NotAxenic","/NA/","Axenic/NotAxenic","axenique","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000003","http://www.opensilex.org/weis/id/variables/v066","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n24","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000014","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n23","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000013","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n22","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000012","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n21","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000011","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n20","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000010","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n19","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000009","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n18","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000008","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n17","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000007","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n16","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000006","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n15","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000005","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n14","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000004","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n13","2019-07-25T14:00:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","354.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000003","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n24","2019-07-25T14:00:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","inf.","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000014","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n23","2019-07-25T14:00:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","inf.","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000013","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n22","2019-07-25T14:00:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","inf.","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000012","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n21","2019-07-25T14:00:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","inf.","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000011","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n20","2019-07-25T14:00:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","8.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000010","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PCC9432ax_n19","2019-07-25T14:00:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","8.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000009","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_3","PMC728.11nax_n18","2019-07-25T14:00:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","8.0","LBE",NA,"http://www.opensilex.org/weis/WS2017-1","http://www.opensilex.org/weis/2020/o20000008","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
